Project,Priority,Rank level,Actionable warning lifespan: day(s)
pool,Priority 2,5,142
pool,Priority 2,18,18
pool,Priority 3,20,0
pool,Priority 3,20,83
pool,Priority 2,17,1
pool,Priority 3,19,1295
pool,Priority 3,19,2
pool,Priority 2,18,0
pool,Priority 2,5,142
pool,Priority 2,18,140
pool,Priority 3,19,353
pool,Priority 2,18,0
pool,Priority 2,5,142
pool,Priority 2,17,81
pool,Priority 3,20,29
pool,Priority 2,8,1
pool,Priority 3,20,17
pool,Priority 2,17,2
pool,Priority 3,20,66
pool,Priority 2,17,2
pool,Priority 2,17,0
pool,Priority 3,20,17
pool,Priority 3,19,119
pool,Priority 2,14,1
pool,Priority 3,20,304
pool,Priority 2,17,38
pool,Priority 2,14,8
pool,Priority 2,18,0
pool,Priority 2,17,1
pool,Priority 2,17,0
pool,Priority 2,18,1553
pool,Priority 2,5,142
pool,Priority 2,17,1
pool,Priority 2,17,1
pool,Priority 2,17,6
pool,Priority 2,17,38
pool,Priority 3,19,353
pool,Priority 2,5,142
pool,Priority 2,17,6
pool,Priority 3,19,13
pool,Priority 2,17,2
pool,Priority 2,5,142
pool,Priority 3,20,1
pool,Priority 2,5,142
pool,Priority 3,20,83
pool,Priority 2,14,1
pool,Priority 2,5,142
pool,Priority 3,19,57
pool,Priority 3,19,0
pool,Priority 3,20,12
pool,Priority 2,17,1
pool,Priority 3,20,8
pool,Priority 2,5,142
pool,Priority 3,19,119
pool,Priority 3,20,83
pool,Priority 3,20,0
pool,Priority 3,19,119
pool,Priority 2,5,142
pool,Priority 2,18,214
pool,Priority 3,20,12
pool,Priority 3,20,27
pool,Priority 2,17,2
pool,Priority 2,14,1
pool,Priority 2,5,142
pool,Priority 2,11,308
pool,Priority 3,19,353
pool,Priority 3,20,17
pool,Priority 2,18,963
pool,Priority 3,19,119
pool,Priority 2,18,963
pool,Priority 2,18,0
pool,Priority 2,18,0
pool,Priority 2,16,115
pool,Priority 3,20,14
pool,Priority 3,19,353
pool,Priority 2,18,0
pool,Priority 3,19,12
pool,Priority 2,17,1
pool,Priority 2,17,6
pool,Priority 3,19,12
pool,Priority 2,17,55
pool,Priority 3,20,17
pool,Priority 2,17,0
pool,Priority 3,20,393
pool,Priority 2,18,1413
pool,Priority 1,19,4
pool,Priority 2,18,0
pool,Priority 3,19,353
pool,Priority 3,19,2
pool,Priority 2,18,0
pool,Priority 2,17,21
pool,Priority 2,18,346
pool,Priority 2,17,0
pool,Priority 3,20,132
